dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M4,TimesNet,42,1,550.3728169439726,0.969705516795838,188.40500275001978,0.000768
M4,TimesNet,123,1,555.8675743556234,0.9410513306606992,255.76696370900027,0.001536
M4,TimesNet,456,1,560.2071485666584,0.9513319889958305,286.56782112500514,0.002304
M4,TimesNet,42,2,541.9298534357844,0.960232727560601,199.3995487499924,0.003072
M4,TimesNet,123,2,563.6234004969051,0.95060128069642,216.73474204199738,0.00384
M4,TimesNet,456,2,528.9636687699501,0.9199613927616644,232.35747958399588,0.004608
