dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M5,DLinear,42,1,0.8600926360526189,1.021240124564603,2.768620207993081,0.044544
M5,DLinear,123,1,0.8598414655716624,1.018164073803438,2.662787457986269,0.044544
M5,DLinear,456,1,0.8589180388645868,1.0191258415300097,2.664969083009055,0.04736
M5,DLinear,42,2,0.8464787303064284,1.2097196708817506,2.6397800000268035,0.139776
M5,DLinear,123,2,0.8457196228053155,1.206892328924174,2.6251850409898907,0.139776
M5,DLinear,456,2,0.8463563053639206,1.2083233606890516,2.6395621249976102,0.287488
