dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
Traffic,NBEATS,42,1,0.00695609648278666,0.5121426172153588,11.274089457991067,0.004864
Traffic,NBEATS,123,1,0.006873794628894034,0.5176411943827846,11.331912499997998,0.005632
Traffic,NBEATS,456,1,0.006992040064009528,0.5149771632252909,11.223855832999106,0.0064
Traffic,NBEATS,42,2,0.010216130988302952,0.7882157095319505,10.787885083991569,0.0064
Traffic,NBEATS,123,2,0.01074761328976524,0.8160130291700658,10.209455374977551,0.007168
Traffic,NBEATS,456,2,0.010133845425824246,0.7707822380797554,11.49794595799176,0.007936
