dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
Traffic,TimesNet,42,1,0.007329317097053784,0.5279183776870338,1067.6088686670118,0.004608
Traffic,TimesNet,123,1,0.007327773913870178,0.5383545617491948,1043.722312124999,0.005376
Traffic,TimesNet,456,1,0.007470507470675975,0.5419207062830939,1064.2424380419834,0.006144
Traffic,TimesNet,42,2,0.010622421338966119,0.8031525513927265,1093.6548472499999,0.006912
Traffic,TimesNet,123,2,0.011476606280277251,0.8771223956283052,1081.5568448750128,0.00768
Traffic,TimesNet,456,2,0.011245177226654874,0.8486797114832545,1077.3443111660017,0.008448
