dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M5,TimesNet,42,1,0.8556119339240701,0.9389887313473548,337.1035952499951,0.005376
M5,TimesNet,123,1,0.8627725145460241,0.9490121802149474,327.1014747500012,0.006144
M5,TimesNet,456,1,0.8560529318714569,0.9299744395062808,334.0482467909751,0.001536
M5,TimesNet,42,2,0.8403670136440944,1.0629810870638619,335.8960745000222,0.002304
M5,TimesNet,123,2,0.8407051340640256,1.0683140057066363,330.6816702079959,0.003072
M5,TimesNet,456,2,0.8362598967306647,1.0341283430616626,334.24502633398515,0.00384
