dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M5,PatchTST,42,1,0.8632281243778638,0.9299667229643,30.800361958012218,0.007424
M5,PatchTST,123,1,0.8602319886193254,0.9340729588749928,30.499677833984606,0.015104
M5,PatchTST,456,1,0.8569540250408252,0.9322863159887846,30.550536958995508,0.02304
M5,PatchTST,42,2,0.8272271821411517,1.0095290205188139,30.661749374994542,0.031744
M5,PatchTST,123,2,0.8290327652586399,1.0099077914075583,30.607252832996892,0.041728
M5,PatchTST,456,2,0.8274036229442987,1.0077386578027485,30.53149579098681,0.109056
