dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M5,TiDE,42,1,0.9452582824596071,1.1345842010531941,12.651990624988684,0.011008
M5,TiDE,123,1,0.9364020414270428,1.1217217926709244,12.228262042015558,0.013312
M5,TiDE,456,1,0.9449977118763907,1.1349743625317603,12.330275415995857,0.015616
M5,TiDE,42,2,0.9453951914390615,1.243196534312583,11.840807500004303,0.01792
M5,TiDE,123,2,0.9403727783836492,1.234605304205844,11.309382167004514,0.020224
M5,TiDE,456,2,0.9456710572564043,1.2375063964694102,12.349947540991707,0.022528
