dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M4,DLinear,42,1,792.8650794843114,1.4126092336612406,5.096786499983864,0.000768
M4,DLinear,123,1,740.9984237282847,1.329572228935569,3.6635426669963636,0.005888
M4,DLinear,456,1,765.4490615820533,1.365072878397777,3.3597254999913275,0.013312
M4,DLinear,42,2,719.3947322953518,1.3975501010764368,3.3918595830036793,0.021504
M4,DLinear,123,2,669.0617276944239,1.3031364235164413,3.0092930409882683,0.029952
M4,DLinear,456,2,690.7853744005198,1.3484921363575784,3.0215549580170773,0.043776
