dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M4,TiDE,42,1,790.4045482236291,1.5310696275176552,11.30220154201379,0.000768
M4,TiDE,123,1,788.8543341398405,1.519231667413642,12.828915042016888,0.002048
M4,TiDE,456,1,778.658581803641,1.4932582574741622,11.70553025000845,0.003328
M4,TiDE,42,2,747.7029482409977,1.5097335047631872,11.761941582983127,0.005632
M4,TiDE,123,2,733.191819955492,1.4897020803653507,11.988602625002386,0.007936
M4,TiDE,456,2,736.0417926172868,1.4849826982242464,10.867744333983865,0.01024
