dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M5,NBEATS,42,1,0.846963375085969,0.9145643633973907,11.71376691700425,0.008192
M5,NBEATS,123,1,0.8454844549718213,0.9106133993845935,11.511399749986595,0.00896
M5,NBEATS,456,1,0.8347560773373126,0.9017464238439448,11.143257207993884,0.001536
M5,NBEATS,42,2,0.8185157758357985,0.996625878200031,11.245116832986241,0.002304
M5,NBEATS,123,2,0.8118502128803837,0.9939409865480306,11.545816083991667,0.003072
M5,NBEATS,456,2,0.8130658248978995,0.992257834497301,11.366752000001725,0.004096
