dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
Traffic,DeepAR,42,1,0.023509243629074816,1.8205021493145088,216.64830095801153,0.001024
Traffic,DeepAR,123,1,0.023435252940236517,1.8173162221125103,191.79973425000207,0.002048
Traffic,DeepAR,456,1,0.02357276686823042,1.8201723647209218,226.13288954200107,0.002048
Traffic,DeepAR,42,2,0.022780815415825693,1.83676993594252,224.89176829200005,0.003072
Traffic,DeepAR,123,2,0.022738437169207804,1.8337007485139623,192.4357202500105,0.004096
Traffic,DeepAR,456,2,0.023011778305403418,1.852736782628874,226.7964123339916,0.00512
