dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M4,NBEATS,42,1,483.4750263916037,0.8320741714471553,15.010979709011735,0.000768
M4,NBEATS,123,1,483.2631068085229,0.8350003309348872,13.095343374996446,0.001536
M4,NBEATS,456,1,496.62673423397314,0.8464491989637655,12.350847374997102,0.00256
M4,NBEATS,42,2,483.29590906853184,0.8323687181349726,12.465142166998703,0.00384
M4,NBEATS,123,2,489.83484778031413,0.8518095688271181,11.759907708998071,0.00512
M4,NBEATS,456,2,488.6785659704155,0.8369062624963777,12.487564666982507,0.007424
