dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
Traffic,PatchTST,42,1,0.007751146812113931,0.5814667339362103,47.20224408298964,0.113152
Traffic,PatchTST,123,1,0.007744668515148262,0.5821016465836938,50.884798209008295,0.117248
Traffic,PatchTST,456,1,0.007330101455117265,0.538220453646055,51.010539625014644,0.121344
Traffic,PatchTST,42,2,0.010408943014686306,0.7967231134951698,51.06070170798921,0.12544
Traffic,PatchTST,123,2,0.010250451976734989,0.7884304770954733,50.892976375005674,0.129536
Traffic,PatchTST,456,2,0.0102025155578043,0.7826315242026078,50.868630292010494,0.134144
