dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M5,DeepAR,42,1,0.8965597529980421,1.070421552450512,30.980805125000188,0.070912
M5,DeepAR,123,1,0.8828751183894928,1.0484119698838565,40.539197000005515,0.077824
M5,DeepAR,456,1,0.8794485768032194,1.0507077182508509,40.53974987499532,0.090368
M5,DeepAR,42,2,0.9035497023348165,1.1601598706054803,40.832341667002765,0.102912
M5,DeepAR,123,2,0.8919285325760887,1.153145423587902,41.01219549999223,0.115456
M5,DeepAR,456,2,0.8891994242099048,1.186683211504467,40.51094870900852,0.128
