dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M4,PatchTST,42,1,616.9518371328614,1.1918457006321659,44.36259262502426,0.004352
M4,PatchTST,123,1,626.4388443740971,1.2077954848542227,40.54790404101368,0.00896
M4,PatchTST,456,1,627.1825769300311,1.2060892731482196,40.6936341659748,0.013824
M4,PatchTST,42,2,604.8902911537276,1.111745706018073,37.353343374998076,0.018688
M4,PatchTST,123,2,609.7008217689154,1.1120562236460731,39.81725166700198,0.024064
M4,PatchTST,456,2,614.7804193097115,1.1181581946036776,40.185924333985895,0.02944
