dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
Traffic,DLinear,42,1,0.006549506980276124,0.48799018727812415,2.698298875009641,0.000768
Traffic,DLinear,123,1,0.0066720093630132414,0.48935195243052154,2.5796216250164434,0.001536
Traffic,DLinear,456,1,0.006515989982027173,0.4831888300814905,2.612807666999288,0.002304
Traffic,DLinear,42,2,0.010471694714789124,0.7917550551725507,2.5791830419912003,0.003072
Traffic,DLinear,123,2,0.010332780879729274,0.7826721408422409,2.5349531669926364,0.003072
Traffic,DLinear,456,2,0.010601994455913392,0.7948541953242046,2.561090041999705,0.00384
