dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M4,DeepAR,42,1,769.097132378438,1.4786247287571672,31.124209250003332,0.004864
M4,DeepAR,123,1,765.871620126884,1.4809761772960615,34.22865199999069,0.016384
M4,DeepAR,456,1,763.5345427269147,1.4851858631260573,38.76272408297518,0.028416
M4,DeepAR,42,2,725.10331451135,1.4814167360862343,29.82112308300566,0.04096
M4,DeepAR,123,2,725.262959638209,1.488691143705462,29.70449729100801,0.053504
M4,DeepAR,456,2,724.9924568295793,1.4927034173715175,29.571958165994147,0.066048
